pnl,user,baseAssetAmount,quoteAssetAmountAfter,quoteEntryAmount,settlePrice,txSig,slot,datetime,marketIndex,explanation,programId
-13.274167,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,4.6,-467.313149,-522.380872,101.589815,2tXuYu9ijRFrqrJwx4Y43anCKBQX4n75aXRBUcTe62AgVKC1acML8UjnV6nnrE4gMKfVxM3bQ3NaAcjPFCghXhYE,238524918,12/28/2023  7:57:00 AM,0,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-0.068439,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,4.6,-467.24471,-522.380872,101.574937,3ezki2thkayvoJDBrbRjSYzXvL3ijJynvrWGwZxRVzoGCbt7xSgxKDyniVdawHoxtB68G6TzCuNsC2Q7zQnprpLX,238524921,12/28/2023  7:57:01 AM,0,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-6.950838,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,4.8,-480.336,-542.180872,100.07,3CRkG9yiJ6BjeNAk4D3qWm2sMk7PFbTP8V2CJnZ8rNUMCMFgUZcf8Yeonqw3GjMZUnNfFPQwrJgrSEzrpqFEHZXi,238538502,12/28/2023  9:35:27 AM,0,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-11.812014,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,88.0,-203.9356,-218.456076,2.31745,2Jdiqvd1XTRsnPfr8RTV7BUfWjeyUE6YeMRrox4dJQ8YGjGevr3bvUkSV1JZYLpdYg584BmEE1fEvNAcsAcLVhjn,238543061,12/28/2023  10:08:57 AM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.144936,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,88.0,-204.080536,-218.456076,2.319097,2qeDageiKdeduedRVjDjDDVc3UnDVqNHdDkaAxoTFnRfcJ31zjMMSNea8ZJuTNSiA4MBH1Q1LHEEJmGeMnCtQHpu,238543075,12/28/2023  10:09:03 AM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-10.327741,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,700.0,-226.107,-235.801739,0.32301,4Uh8vzwYcsac3nDFYmUaRtkSaY6hnKTk3kyyqouvYUmQ6kzDHNo2bYBwZ9B2kiFb7rJsJ7LPWmP11XKgxjk7Gbp8,238564685,12/28/2023  12:50:05 PM,18,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.0308,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,700.0,-226.1378,-235.801739,0.323054,4QTkh9spK8VZK7wv31SWh77UGKVAWHjSGqLj36E8Z3Xe1KoEi96YmT4Nk3qUWPMAFgivbHhcTGodF7dteCrN2qXc,238564699,12/28/2023  12:50:12 PM,18,none,"dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH"
23.766725,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,5.0,-525.488245,-562.63126,105.097649,1zfGSdKUc97E9wU8ZwudSoWe3ZUof79CCaAP6LUvjLtyEzRkLRVWZcijfug1oDGDW1W9SPuP6WaHdkaUTFBQ57i,238626102,12/28/2023  8:32:24 PM,0,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-0.124455,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,5.0,-525.36379,-562.63126,105.072758,28qhVkkYGBTLvrump98Yqx19ckeM2cE86MUuQNFN8dpyZJFY62ytXmiQE6FTfUWapf7fyd31YhumzFg4UjS2ZyeW,238626115,12/28/2023  8:32:30 PM,0,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-16.239168,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,120.0,-263.30148,-293.617975,2.194179,m1Bxzz5vcEyN7Qf6kztybid7NE81yqqPGujVb5so9KerPeRWPg5zo4Yoqqe8A2uRmLwJKKzNdHnwNSEovgFfW3G,238628051,12/28/2023  8:47:05 PM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.01872,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,120.0,-263.3202,-293.617975,2.194335,4p3E28d3mjQAUfheL17YWtFWJRTpQ9BXAwERx12GXcj1U4NSwdKXj8AXtoDTGpcbXEytGmS25XDnkyUApUJyuyfC,238628072,12/28/2023  8:47:14 PM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
8.178158,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,5.0,-534.379845,-562.63126,106.875969,5TpGjKJ6R36ZJX5cgLhDznadcenf4pqQGX7h8YERJE7fjPW5TASLcouU3YUubfbs6W2tp9rgRrWeJWm7xFBZwqM9,238665178,12/29/2023  1:30:22 AM,0,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
13.217207,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,800.0,-273.1712,-269.354463,0.341464,5DrTyqC81dPp4X4bJtzMHUhQ8bSBCe5n4wcrh91o2zLT4sEn1UsynHpR2C5XAkHeV69BRrCFFu9JjcAw54dye1RK,238682865,12/29/2023  3:46:49 AM,18,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-0.264,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,800.0,-272.9072,-269.354463,0.341134,4jjFVbXABRJvzrPzkA6FfYzEa9Yyu8Jtncd9y6NBSknqdGC2ypNkkHG9RXzV885WSmvYZwg2aHuervheoqqtuJ6r,238682878,12/29/2023  3:46:55 AM,18,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
10.228119,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,5.0,-545.04173,-562.63126,109.008346,3Dp4tWMNphT4AKuQEZB5ZFm7wHQEx2UkJ2kwQ3d6br1Xm2T7yFuDjahm9oEJ5hwz6V8QpfSG9PJaG2JyRXJPAiZb,238684467,12/29/2023  3:59:31 AM,0,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
8.820326,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,134.0,-304.33745,-325.656561,2.271175,59WfLBN8zP8SYFitPNb8n6NDxxjCxpcAoChRYKtMt4r3j8JtLkZAUsjb4vgmtWCSH6zr81zNy4etBp1Kwc9DJz9G,238698781,12/29/2023  5:50:51 AM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.047034,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,134.0,-304.384484,-325.656561,2.271526,54XadcBcETY6LLyc3vTUdiZ4dssXMamUnhQFVQE36WZHXvcXfHV44Rp4dgo59KpadwFZ6VpJYDW6FzzA8HYfoMpb,238698798,12/29/2023  5:50:59 AM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-10.091112,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,5.0,-535.505,-562.63126,107.101,ZN5n73HwUp1c47v1JNCqyUspprpKqiWXFLpfXD6f999N81RePff9RsHzPzpFCjwLTwVuopPq5YSCsvQeCnrSHLg,238706378,12/29/2023  6:50:03 AM,0,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-0.002325,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,5.0,-535.502675,-562.63126,107.100535,3KTbqT4iNRycQAjGZyGEXYrAC4rLLCA7BDtR9zfkHcPExmHqCHR3QMeew5TLjAJYT9W61zqww1KPUmSj2U82dSYq,238706391,12/29/2023  6:50:11 AM,0,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
