fillerReward,baseAssetAmountFilled,quoteAssetAmountFilled,takerFee,makerRebate,referrerReward,quoteAssetAmountSurplus,takerOrderBaseAssetAmount,takerOrderCumulativeBaseAssetAmountFilled,takerOrderCumulativeQuoteAssetAmountFilled,makerOrderBaseAssetAmount,makerOrderCumulativeBaseAssetAmountFilled,makerOrderCumulativeQuoteAssetAmountFilled,oraclePrice,makerFee,txSig,slot,datetime,action,actionExplanation,marketIndex,marketType,filler,fillRecordId,taker,takerOrderId,takerOrderDirection,maker,makerOrderId,makerOrderDirection,spotFulfillmentMethodFee,programId
0.003954,0.05,185.0,0.039544,-0.00925,0.006243,0.0,0.374,0.273,1003.25256,0.05,0.05,185.0,3674.34,-0.00925,4hM5tuLrdojiRu2L7jPkDKkE5b18xRTTPWNaxCPU69RrNy7tD8sT4W3aPa3LAwKBr23qfM29uoryDfgQULZAz4JA,254289224,3/15/2024  3:50:09 AM,fill,orderFilledWithMatch,2,perp,8bbQpyeMmuABQ5yYEqz5FHuzTotWoXY4wNLmuca7Mhve,1864177,EatKLUoLUr5QSEFB7NgLY7FB24jKRaHjNPipygKxpnuB,25595,short,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,648.0,long,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.0,0.054,198.18,0.014864,-0.009909,0.0,0.0,11.779,0.072,264.24,0.054,0.054,198.18,3647.106819,-0.009909,3Uv9LBC3BS792VaJ6ER8wbxVGF1dD8mpBjvSnNH7fQGy51GDxfxu48E2bVokXZMN78P7pDHmvPMiequ6caztXyuY,254291651,3/15/2024  4:07:06 AM,fill,orderFilledWithMatch,2,perp,H5jfagEnMVNH3PMc2TU2F7tNuXE6b4zCwoL5ip1b4ZHi,1864535,H5jfagEnMVNH3PMc2TU2F7tNuXE6b4zCwoL5ip1b4ZHi,2566433,short,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,655.0,long,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.004541,0.05,181.667356,0.045417,0.0,0.0,1.242172,0.05,0.05,181.667356,0.0,0.0,0.0,3608.495,0.0,4XKrpzg3cEpbKXxCjiaNwiM4e7yrJCN5MC6Bv2WYRiCuRjWPisd8NvVS657Y4AhwiRfappZ9VYsS4WLKtDpy19C7,254292082,3/15/2024  4:10:07 AM,fill,orderFilledWithAmm,2,perp,8bbQpyeMmuABQ5yYEqz5FHuzTotWoXY4wNLmuca7Mhve,1864710,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,649,long,,,,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.00365,0.02,73.0,0.0365,-0.0146,0.0,0.0,0.3,0.02,73.0,0.02,0.02,73.0,3608.495,-0.0146,2H96oRkWTGwWSLMPU3tsdmuCBXVZ52vK5bgGWKuUGzFvCqC8vq5ckm5v1Ym2mdJaHkkfYPsGPyhYTgr1zet5wkHF,254292082,3/15/2024  4:10:07 AM,fill,orderFilledWithMatch,4,spot,3e5QUcAj1qWHRjtphaKVguitkZx6Rnun6CSCJibnwxZM,30241,6F1EfXceDaRFgBGTg6tNetUkZbsp2YW7CCieeA9ZuY6j,22546155,short,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,663.0,long,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.0,0.055,199.65,0.014974,-0.009982,0.0,0.0,1.187,0.104,378.217,0.055,0.055,199.65,3608.495,-0.009982,2hE2kWeQXFwzd61jzLo2DDMfE7pL8WTrL39NQWtyZTUimGpRuyJgPZt45GUR3cgwhA8JkupA6x5SUktxuhzGCmaK,254292093,3/15/2024  4:10:12 AM,fill,orderFilledWithMatch,2,perp,H5jfagEnMVNH3PMc2TU2F7tNuXE6b4zCwoL5ip1b4ZHi,1864719,H5jfagEnMVNH3PMc2TU2F7tNuXE6b4zCwoL5ip1b4ZHi,2566474,short,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,656.0,long,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.013043,0.14,521.7296,0.130433,-0.026086,0.0,0.0,0.14,0.14,521.7296,0.28,0.14,521.7296,3708.23,-0.026086,3Zosyqpn6iM64ZAuBzEkz22WUc6yn98pxbRtixZmitRijRXXfcEX3JEGqd19WCsRnfvoBUJ4Y1tHECv49NShtSKW,254371774,3/15/2024  1:38:36 PM,fill,orderFilledWithMatch,2,perp,GFDLhGSh1N1Dc38vYWc7PT7yTA8xzeMBfjK63q7W2Dg5,1873144,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,667,long,B24N44F45nq4Sk2gVQqtWG3bfXW2FJKZrVqhhWcxJNv3,15240777.0,short,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.0806,0.1,374.204144,0.187103,0.0,0.0,0.0,0.1,0.1,374.204144,0.0,0.0,0.0,3746.568262,0.0,25Rg86FmLdD5cPT7ZSogGNbzaaTwJQshP8vQ9awwRuvBvfNWVaX3DxSLg1zyVuC5qmm7sqEZTkbi2o2ZreKSZ9BD,254380242,3/15/2024  2:39:53 PM,fill,orderFillWithPhoenix,4,spot,EzxyKMKL6W1MLBDJumJTpARKwf1MXyy6DcebUcWkHjaa,30320,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,671,long,,,,0.074841,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.059718,0.0534,199.060782,0.099531,0.0,0.0,0.0,0.0534,0.0534,199.060782,0.0,0.0,0.0,3724.5206,0.0,na9mvJng72UUgxp22BLepnBPnZWchcrtvQvJcAheHPtXt8H17Kk7LpuzxzsKsYtjpTZWfEeMm7rVysxscFyEsqQ,254381387,3/15/2024  2:48:09 PM,fill,orderFillWithPhoenix,4,spot,EzxyKMKL6W1MLBDJumJTpARKwf1MXyy6DcebUcWkHjaa,30321,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,676,long,,,,0.039813,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.001838,0.1,18.37969,0.01838,0.0,0.0,-0.007556,0.5,0.1,18.37969,0.0,0.0,0.0,183.642821,0.0,5uW987Aw7MyAFg9ixCw5xphBbMd9E9nvHWt7uv6q6qr6N3tT8SbdngfnKDNEzicVwJH23STrstyividgLByL8vL,254382332,3/15/2024  2:54:59 PM,fill,orderFilledWithAmmjitLpsplit,0,perp,GFDLhGSh1N1Dc38vYWc7PT7yTA8xzeMBfjK63q7W2Dg5,4020907,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,685,long,,,,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.007351,0.4,73.51876,0.073519,-0.014703,0.0,0.0,0.5,0.5,91.89845,126.0,0.4,73.51876,183.642821,-0.014703,5uW987Aw7MyAFg9ixCw5xphBbMd9E9nvHWt7uv6q6qr6N3tT8SbdngfnKDNEzicVwJH23STrstyividgLByL8vL,254382332,3/15/2024  2:54:59 PM,fill,orderFilledWithMatch,0,perp,GFDLhGSh1N1Dc38vYWc7PT7yTA8xzeMBfjK63q7W2Dg5,4020908,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,685,long,BRksHqLiq2gvQw1XxsZq6DXZjD3GB5a9J63tUBgd6QS9,41435419.0,short,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.009988,0.0537,199.764,0.099882,-0.039952,0.0,0.0,0.3,0.0537,199.764,0.0537,0.0537,199.764,3685.666763,-0.039952,4p2iVafhkh8677iczCCZ13NnEPWTg48GfhR3AEDWeoCZw366vH6fiv2GrNXUikjh9KBbd3CYA1CPhRbi9n5xEVJ6,254382472,3/15/2024  2:55:58 PM,fill,orderFilledWithMatch,4,spot,3e5QUcAj1qWHRjtphaKVguitkZx6Rnun6CSCJibnwxZM,30322,6F1EfXceDaRFgBGTg6tNetUkZbsp2YW7CCieeA9ZuY6j,22568597,short,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,678.0,long,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.00999,0.054,199.8,0.0999,-0.03996,0.0,0.0,0.3,0.054,199.8,0.054,0.054,199.8,3673.397511,-0.03996,3i8Bh9FeBJn7WvHjuMicqBe1kwUSok6tM2LEfBbVMxsa3xNNKpT7VM2iUXf4NeFqqS8XaWRLDLPf1muhmWCSbbAz,254383925,3/15/2024  3:06:24 PM,fill,orderFilledWithMatch,4,spot,3e5QUcAj1qWHRjtphaKVguitkZx6Rnun6CSCJibnwxZM,30323,6F1EfXceDaRFgBGTg6tNetUkZbsp2YW7CCieeA9ZuY6j,22568800,short,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,677.0,long,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.0,0.022,80.96,0.006072,-0.004048,0.0,0.0,0.027,0.027,99.36,0.027,0.022,80.96,3669.0,-0.004048,582YzDFfWPGngNM241uoAHjZrsV4bXYwmWYRXtLmoTQmcL6MWEHYAVUa88Bp4ZqgmZGdoUuGgm2PABrcZi3LywJn,254384060,3/15/2024  3:07:22 PM,fill,orderFilledWithMatch,2,perp,5iqawn52cdBmsjC4hDegyFnX1iNRTNDV5mRsGzgqbuyD,1874648,5iqawn52cdBmsjC4hDegyFnX1iNRTNDV5mRsGzgqbuyD,3529145,short,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,688.0,long,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.0,0.005,18.4,0.00138,-0.00092,0.0,0.0,0.005,0.005,18.4,0.027,0.027,99.36,3669.0,-0.00092,5bye5MwBiHtYc254gNgjg3HiM2cRbFvGztKbha8G5zN2PUSFHGcqRReHF98YaKGcgvfJiiiSGAZmGq8sBrTqr28e,254384068,3/15/2024  3:07:25 PM,fill,orderFilledWithMatch,2,perp,5iqawn52cdBmsjC4hDegyFnX1iNRTNDV5mRsGzgqbuyD,1874653,5iqawn52cdBmsjC4hDegyFnX1iNRTNDV5mRsGzgqbuyD,3529149,short,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,688.0,long,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.0063,0.5,90.0,0.063,-0.018,0.0,0.0,1111.0,0.5,90.0,0.5,0.5,90.0,179.61464,-0.018,37S7izkwrfMyoW84mBg133c62KzhbjBA2NnAGDD1KDjCetyRtrCQQBHMCrBq8zJvaA1CJC7VucZAMESqiYrQxDVT,254384310,3/15/2024  3:09:06 PM,fill,orderFilledWithMatch,0,perp,8bbQpyeMmuABQ5yYEqz5FHuzTotWoXY4wNLmuca7Mhve,4021519,FgbsjcwKyUYLKLoYyq3piHW3xfU7cemPS8GniM1eeoUs,851,short,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,683.0,long,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.0,0.027,98.82,0.007412,-0.004941,0.0,0.0,0.027,0.027,98.82,0.027,0.027,98.82,3629.175,-0.004941,2YYTYdWm3oJkrnXK9KhuftaEj56KRVZzh2ZJ8wAzeYBg4kHrzENMbqEAWVMmwbFZtJu2LjthqoEhRBJyS8XXnmgZ,254384452,3/15/2024  3:10:11 PM,fill,orderFilledWithMatch,2,perp,5iqawn52cdBmsjC4hDegyFnX1iNRTNDV5mRsGzgqbuyD,1874780,5iqawn52cdBmsjC4hDegyFnX1iNRTNDV5mRsGzgqbuyD,3529173,short,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,689.0,long,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.009991,0.0543,199.824,0.099912,-0.039964,0.0,0.0,0.3,0.0543,199.824,0.0543,0.0543,199.824,3646.0,-0.039964,2kCq87sPfya6ZbsiVsBuPURZfWXqc165X8goWtq8PhgSmybFfurm4PiQ5hDtbZBN1ENRbs8fWMnzwmYtMqBp88N2,254384605,3/15/2024  3:11:19 PM,fill,orderFilledWithMatch,4,spot,3e5QUcAj1qWHRjtphaKVguitkZx6Rnun6CSCJibnwxZM,30325,6F1EfXceDaRFgBGTg6tNetUkZbsp2YW7CCieeA9ZuY6j,22568925,short,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,675.0,long,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.0007,0.027,98.28,0.007003,-0.004914,0.001105,0.0,5.29,0.033,120.12,0.027,0.027,98.28,3628.83,-0.004914,iW9frroHvZVjcQobqEWhUemJw4LDc9SNzERfteRpN2mJXmTRf4BBC7pH5Zy3YrmQViPztntZCN59bNvLboQi26m,254389140,3/15/2024  3:43:58 PM,fill,orderFilledWithMatch,2,perp,8bbQpyeMmuABQ5yYEqz5FHuzTotWoXY4wNLmuca7Mhve,1875207,B24N44F45nq4Sk2gVQqtWG3bfXW2FJKZrVqhhWcxJNv3,15268508,short,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,686.0,long,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.019038,1.0,190.3837,0.190384,-0.038076,0.0,0.0,1.0,1.0,190.3837,210.0,68.0,12946.0916,189.725,-0.038076,3XJxnzjsw4Hra9QhkHK2xvU6XCGwyeouA7mXi34wsKdDoVWCxyTbQsKrS1eFiErqC3hLKhk8vJUM6m3uKgw3TTMn,254462917,3/16/2024  12:34:59 AM,fill,orderFilledWithMatch,0,perp,GFDLhGSh1N1Dc38vYWc7PT7yTA8xzeMBfjK63q7W2Dg5,4036340,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,609,short,FPMWfMBQp81PkMEBSyaVwadzesfkTkYFbegaaoGBcpPB,5159546.0,long,0.0,"dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH"
0.023422,20.0,234.226,0.234226,-0.046845,0.0,0.0,20.0,20.0,234.226,137.0,26.0,304.4938,11.478675,-0.046845,65Q5yKViT7Lfy2DVjc4btiSSYtqro3XGTwrtcgiiaCZvL2eSnvKrbSdCmPZHkcvpPrmb8BQ2LpjQf99Vb6YV3K4X,254490794,3/16/2024  3:56:07 AM,fill,orderFilledWithMatch,12,perp,Hyjcj7mddrEEJiD2QzeYjW96UfYyJBZ8dHCpxetG2zez,89551,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,692,long,h5q9e3aTiD6QLJzaVCdbwV6nTLsrrCjpW1Vf3yT9KHo,109617.0,short,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.005789,5.0,57.898417,0.057899,0.0,0.0,1.097578,5.0,5.0,57.898417,0.0,0.0,0.0,11.360125,0.0,4N2JmjqoPBEoJZRCEfVnkxwsSZxZtZ4Eo19a8Pd3Hww8AWcwW6HcrSxcnhuYUZf6RNvdPwQpHsSF4d13kWh59k8n,254492448,3/16/2024  4:07:46 AM,fill,orderFilledWithAmm,12,perp,8bbQpyeMmuABQ5yYEqz5FHuzTotWoXY4wNLmuca7Mhve,89583,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,691,long,,,,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.005745,5.0,57.449239,0.05745,0.0,0.0,1.089063,5.0,5.0,57.449239,0.0,0.0,0.0,11.271993,0.0,4SZugTs5PG6fHfYG4bkQSxhvL146s6DgLZfsyNQnF8zXu2RtZc5XcNGSNDTynpcFRQ9swKeor3Uc881p7UWuRyhv,254492666,3/16/2024  4:09:13 AM,fill,orderFilledWithAmm,12,perp,wtTgNkdW6j8iP2RfcHjxZ7nNCGtUUkGyhNnxhJByrns,89584,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,693,long,,,,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.00513,5.0,57.0,0.0513,-0.0114,0.0,0.0,600.0,465.0,5304.3182,5.0,5.0,57.0,11.243282,-0.0114,4uzKVGip44RYmTqKWbbiUkuVrvGUXJid3hjoRzdQnNgTqSGZtisGbck9U2N3sGLAgu16JyjfFnmnqhgQBKg6fuMN,254493203,3/16/2024  4:13:05 AM,fill,orderFilledWithMatch,12,perp,wtTgNkdW6j8iP2RfcHjxZ7nNCGtUUkGyhNnxhJByrns,89591,B1e1AQmgAM7JfEFQeSJ492UCGDnzFZC7vXiV1LEwSP37,940,short,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,694.0,long,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.0,50.0,54.0,0.0162,-0.0108,0.0,0.0,50.0,50.0,54.0,50.0,50.0,54.0,1.074685,-0.0108,2EaQoYrQezb6TMDxSv9HN6aqG7QCVnDNxwBnNjD53FPwDsavi5g66sinHYCya17T3vL23Vc47bLena9e8zVvmgvN,254502964,3/16/2024  5:22:16 AM,fill,orderFilledWithMatch,21,perp,5iqawn52cdBmsjC4hDegyFnX1iNRTNDV5mRsGzgqbuyD,132091,5iqawn52cdBmsjC4hDegyFnX1iNRTNDV5mRsGzgqbuyD,3535315,short,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,711.0,long,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.0,50.0,75.16,0.03758,0.0,0.0,0.0,50.0,50.0,75.16,0.0,0.0,0.0,1.50775,0.0,7otoTHb6nTYFDeFgJdJikcrcqYeVn2eYQwKgWhMBrQs8krPavMxW7m9Vm7FDw76cAMmpAwB5Cn46z8yTNanEGvz,254506576,3/16/2024  5:47:36 AM,fill,orderFillWithPhoenix,11,spot,3e5QUcAj1qWHRjtphaKVguitkZx6Rnun6CSCJibnwxZM,9137,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,717,short,,,,0.03758,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
