Pubkey,Signature,Event Type,Log Data
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,3a7osPbnkLHufoBo1aiZMibWzEVGRJiYuuhbNjZxLSLc7c7grQZ7esAuRNu72du8gNWDCefCXU6wD6RGZgGD77wa,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715673849, user_authority=Pubkey(
    EvqdHew6Nsg14SJGdcUoL8gvF9hNdMsxWyLyHW6oYEER,
), user=Pubkey(
    GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,
), market_index=0, funding_payment=5986, base_asset_amount=-1500000000, user_last_cumulative_funding=33819196359, amm_cumulative_funding_long=34029387200, amm_cumulative_funding_short=33823187525))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,qr2CLxfVbGtex3YWbLkR5s9mDK8ypFAHb2EWVPyjpbw3y5Atfy7uoXH1VPJL5zfpMhtC2eKptBnd3F8T54doGCS,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715672944, user_authority=Pubkey(
    3ztJmihBzJ8NPRtTWkaAVNjNDQLCCk9arn4yQnhgQcFs,
), user=Pubkey(
    3AMHXMHBBJMoc3QfLhB3HDz8KiG9gxUX58BL5Fn1Rhry,
), market_index=0, funding_payment=2030057, base_asset_amount=-100000000, user_last_cumulative_funding=13518620251, amm_cumulative_funding_long=34025396034, amm_cumulative_funding_short=33819196359))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,5NneyKam25C7H8yDQ2FyseZPq2vM16ZdpviT9hGw6xnbbk27vwDKsXXQK4jULWcxTZ8Kjt8cVqi1kJaqYjbMLFac,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715671797, user_authority=Pubkey(
    Bx4J7mHDekm9K22Weecd2yzEmHPXRGPHDAHe8NkcpQzc,
), user=Pubkey(
    2kZQnHdWpVx6Fr3gU83beZTXrsQ5G9rQCLdSAZ2KxhtL,
), market_index=0, funding_payment=-1007037, base_asset_amount=1200000000, user_last_cumulative_funding=33186198159, amm_cumulative_funding_long=34025396034, amm_cumulative_funding_short=33819196359))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,5J5GmZyZEQQfVEfsHPprZHrfUETJVFHtjNGx3wbGvPsFNmQv1Zqkz8oPq7SGH1GBKhXeGnvR8wroR3hyLiTdpAPq,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715670097, user_authority=Pubkey(
    5ddo32xdfxBvxweFYeSDbteK53Fj68fAVvVqyRF6MpHY,
), user=Pubkey(
    E6vCUxgcNfRLSu1wPHwqiN419LB22GAujb97tZDa91mh,
), market_index=0, funding_payment=5881885, base_asset_amount=-1344700000000, user_last_cumulative_funding=33814822234, amm_cumulative_funding_long=34025396034, amm_cumulative_funding_short=33819196359))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,5J5GmZyZEQQfVEfsHPprZHrfUETJVFHtjNGx3wbGvPsFNmQv1Zqkz8oPq7SGH1GBKhXeGnvR8wroR3hyLiTdpAPq,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715670097, user_authority=Pubkey(
    EvqdHew6Nsg14SJGdcUoL8gvF9hNdMsxWyLyHW6oYEER,
), user=Pubkey(
    GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,
), market_index=0, funding_payment=6561, base_asset_amount=-1500000000, user_last_cumulative_funding=33814822234, amm_cumulative_funding_long=34025396034, amm_cumulative_funding_short=33819196359))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,4mRk3MWd69D4wNQsc4Lx8mMRrhb4pkn8EibQDqU5MV9PVCnCZ5tyojRcH2Ezefu1TJ6FRRovL84BJGebR5naoYZB,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715670063, user_authority=Pubkey(
    HDJZaMHz4sfHFH7TBKTeSWrxukMY9zzpN4JxKgnXW17F,
), user=Pubkey(
    AY9Z97NqbkX3uoYsy3eAy21WgLeckpzboKwJ3135DQNT,
), market_index=2, funding_payment=-13360, base_asset_amount=500000000, user_last_cumulative_funding=813521547247, amm_cumulative_funding_long=813548267663, amm_cumulative_funding_short=813510239524))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,3xBoLpLzstLJgiCcXXjheontiS2Bj2PuGtwGn94TZYceWmg7nuUaFqm2Vx5seACyr8Cu53NVq7rXciF9d5HyXBoA,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715668233, user_authority=Pubkey(
    FegKRFAoSy4acmeNRucNseqDXXixssaxJQYHiJ4ScxWn,
), user=Pubkey(
    8q9KqFV1STgZtHHzh5whwarXXQR6A4VErnzpjNTCtBz6,
), market_index=0, funding_payment=-828776, base_asset_amount=5200000000, user_last_cumulative_funding=33861641876, amm_cumulative_funding_long=34021021909, amm_cumulative_funding_short=33814822234))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,HQQF3UtwwMgNuUPrNeKCkuekekKEDPfZtTktZvZdWM8SnzX1GiqTvjfQzyDdJEuBuL8tAAHa8osdhXbWCqn3Wez,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715666719, user_authority=Pubkey(
    CTh4Q6xooiaJMWCwKP5KLQ4j7X3NEJPf3Uq6rX8UsKSi,
), user=Pubkey(
    H5jfagEnMVNH3PMc2TU2F7tNuXE6b4zCwoL5ip1b4ZHi,
), market_index=0, funding_payment=1954129, base_asset_amount=-293200000000, user_last_cumulative_funding=33808157401, amm_cumulative_funding_long=34021021909, amm_cumulative_funding_short=33814822234))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,5BGNhNizdkathtbhzhxmQBf7TnaWomQDmEBeTGmhzsiYhkAZD389KeHoNgW28k6nqLQkEzaB7XcATMMFDt6fsdbq,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715666518, user_authority=Pubkey(
    EvqdHew6Nsg14SJGdcUoL8gvF9hNdMsxWyLyHW6oYEER,
), user=Pubkey(
    GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,
), market_index=0, funding_payment=9997, base_asset_amount=-1500000000, user_last_cumulative_funding=33808157401, amm_cumulative_funding_long=34021021909, amm_cumulative_funding_short=33814822234))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,Nb7q72Mio2ha2XdTRirtnKxXheu9nnrh3qXkyHmCUjfmazZWmHCGTcdwopxBR7rWq7rJPciBxd8HCwrror7wmBY,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715666518, user_authority=Pubkey(
    4JyLdBPNv5Gnssa6FdCaqDWW7ULPLAp18yg3Vtk9rqpd,
), user=Pubkey(
    772JJ15pJV64Uit5BmV4CoJtMQHx9KRdHhizP7mAgjRQ,
), market_index=1, funding_payment=1856145, base_asset_amount=-624400000, user_last_cumulative_funding=18139517212858, amm_cumulative_funding_long=18142950326882, amm_cumulative_funding_short=18142489899399))"
